0,1
1800,"[{'Mg', 'Sn', 'Cu'}, {'Cu', 'K', 'Cl', 'H', 'N'}, {'O', 'C', 'S', 'Cl'}, {'Mg', 'Sn'}]"
1801,"[{'O', 'Fe', 'C', 'S'}, {'Be', 'Sn', 'S', 'Cu', 'Ba', 'O', 'Mg', 'C'}, {'As', 'O', 'K', 'Cl', 'H', 'N'}, {'Be', 'Sn', 'S', 'Cu', 'Ba', 'O', 'Fe', 'Mg', 'C'}]"
1802,"[{'Sn', 'Ba', 'O', 'Hg', 'Mg', 'Cl', 'N'}, {'Mg', 'Sn', 'Hg'}, {'Ba', 'Mg', 'Sn', 'Hg'}, {'Be', 'Cu'}, {'S', 'As', 'P', 'Al', 'Fe', 'C'}, {'Fe', 'Al', 'As'}, {'Al', 'As'}, {'Br', 'O', 'Cl', 'N'}, {'K', 'O', 'Ag', 'H'}, {'Br', 'N', 'Cl'}]"
1803,"[{'K', 'Na', 'Ag', 'H'}, {'Ba', 'Hg', 'Pd', 'Co', 'Mg', 'Pb'}, {'As', 'S', 'P', 'Al', 'Fe'}, {'Br', 'O', 'Cl', 'N'}, {'Be', 'Zn', 'Cu'}, {'P', 'Fe', 'Al', 'As'}, {'Sn', 'Ba', 'Hg', 'Co', 'Pd', 'Mg', 'Pb'}]"
1804,"[{'K', 'Na', 'Ag', 'H'}, {'Be', 'Cu'}, {'Br', 'O', 'Cl', 'N'}, {'Pt', 'C', 'S', 'Mo'}, {'P', 'Fe', 'Al', 'As'}, {'Zn', 'Ba', 'Hg', 'Co', 'Pb', 'Pd', 'Mg', 'Ca'}, {'U', 'Ti', 'Sn', 'Ir'}, {'K', 'Na', 'H'}, {'Fe', 'Be', 'Cu'}, {'S', 'Al', 'Mo', 'Fe', 'C', 'Pt'}]"
1805,"[{'U', 'Ti', 'Ir'}, {'Zn', 'Ba', 'Hg', 'Co', 'Pb', 'Pd', 'Mg', 'Ca'}, {'K', 'Na', 'Ag', 'H'}, {'As', 'P', 'Al', 'Fe', 'Pt', 'C', 'Cr'}, {'K', 'Na'}, {'O', 'Cl', 'N'}, {'Sn', 'Ir', 'Mo', 'U', 'Ti'}, {'Hg', 'Co', 'Pd'}, {'As', 'P', 'Al', 'Fe', 'Cr'}, {'Be', 'Cu'}, {'Br', 'Cl'}, {'Be', 'Cu', 'Ca'}]"
1806,"[{'K', 'Na', 'Ag', 'H'}, {'Be', 'Zn', 'Cu', 'Ba', 'Hg', 'Pb', 'Co', 'Pd', 'Mg', 'Ca'}, {'Zn', 'Ba', 'Hg', 'Co', 'Pb', 'Pd', 'Ca'}, {'Zn', 'Ba', 'Hg', 'Co', 'Ca'}, {'Au', 'Al', 'Cr'}, {'U', 'Ti', 'Ir'}, {'Sn', 'Ir', 'Mo', 'U', 'Ti'}, {'Br', 'F', 'Cl'}, {np.str_('O'), 'C', 'S'}, {'K', 'Na'}, {np.str_('P'), np.str_('As')}, {'U', 'Ti', 'Ir', 'Mo'}, {'N', 'Ni'}]"
1807,"[{'K', 'Na', 'Ag', 'H'}, {'Be', 'Zn', 'Cu', 'Ba', 'Hg', 'Co', 'Pd', 'Fe', 'Ca'}, {'U', 'Ti', 'Ir'}, {'O', 'S'}, {'Br', 'O', 'S', 'Cl'}, {'Sb', 'As', 'Al', 'Au', 'Cr'}, {'Au', 'Al', 'Cr'}, {'N', np.str_('Ni')}, {'P', 'Sb', 'Al', 'As'}]"
1808,"[{'Zn', 'Ba', 'Co', 'Pb', 'Pd', 'Mg', 'Ca', 'Sr'}, {np.str_('Ba'), 'Zn', np.str_('Co'), np.str_('Ca')}, {'Zn', 'Ba', 'Pd', 'Co', 'Mg', 'Pb', 'Sr'}, {'U', 'Ti', 'Ir'}, {'U', 'Ti', 'Ir', 'Mo'}, {'O', 'S'}, {'Br', 'O', 'S', 'Cl'}, {'Au', 'Al', 'Cr'}, {'K', 'H'}, {'K', 'Na', 'Ag', 'H'}, {'P', 'As'}, {'Be', np.str_('Cu')}, {'N', 'I'}, {'P', 'Sb', 'As'}]"
